								Sun		Mon		Tue		Wed		Thu		Fri		Sat							
Merged-03-oct.tsv:61261c30-c5b9-102f-bfeb-58ebdf4c7e38	Children's Hospitals and Clinics of Minnesota	2525 Chicago Ave. S.	Minneapolis	MN	55404	USA	(612) 813-6000	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	http://www.childrensmn.org/	http://www.yelp.com/biz/childrens-hospitals-and-clinics-of-minnesota-minneapolis		http://local.yahoo.com/info-30979479-children-s-hospitals-and-clinics-minneapolis	http://g.co/maps/8fsr8	http://www.facebook.com/pages/Childrens-Hospitals-and-Clinics-of-Minnesota/117365564949372?fref=ts
Merged-03-oct.tsv:6128eb30-b098-102f-9fff-27fd80e0cf51	Satori Tea Company	37 N San Pedro Street 	San Jose	CA	95110	USA	(408) 292-1502	11:00 AM	5:00 PM			11:00 AM	5:00 PM	11:00 AM	6:00 PM	11:00 AM	6:00 PM	11:00 AM	6:00 PM	11:00 AM	6:00 PM	http://www.thesatoriteacompany.com/	http://www.yelp.com/biz/BP31kKqCliGA8k8LcVCVpA			http://gr.pn/wQ3nqT	http://www.facebook.com/pages/Satori-Tea-Company/135515646466659
Merged-03-oct.tsv:612d8d70-c641-102f-9bbf-9554c357c479	Salon Edera	8 S Moger Ave. 	Mount Kisco	NY	10549	USA	(914) 241-9263	closed	closed	closed	closed	10:00 AM	5:30 PM	10:00 AM	5:30 PM	10:00 AM	8:00 PM	9:00 AM	5:30 PM	8:00 AM	5:00 PM	salonedera.net	http://www.yelp.com/biz/salon-edera-mt-kisco			http://maps.google.com/maps/place?cid=13492248724754579806	http://www.facebook.com/pages/Salon-Edera/134222743294832?fref=ts
Merged-03-oct.tsv:612ff020-c5cd-102f-bd5a-4d675f3c3c21	Duck Island Ale House	7317 Aurora Avenue North 	Seattle	WA	98103	USA	(206) 783-3360	2:00 PM	2:00 AM	2:00 PM	2:00 AM	2:00 PM	2:00 AM	2:00 PM	2:00 AM	2:00 PM	2:00 AM	2:00 PM	2:00 AM	2:00 PM	2:00 AM		http://bit.ly/r6asHd			http://bit.ly/q3b2bY	
Merged-03-oct.tsv:61317880-c656-102f-8bfe-7e5ff20281a7	The Dailey Method Saratoga	20603 3rd St. 	Saratoga	CA	95070	USA	(408) 872-3755															http://thedaileymethod.com/	http://www.yelp.com/biz/the-dailey-method-saratoga#query:The%20Dailey%20Method%20Saratoga				http://www.facebook.com/pages/The-Dailey-Method/132698803464016?fref=ts
Merged-03-oct.tsv:61328d20-c65a-102f-afec-690abcaf1288	Turn It Up!	5 Pleasant St. 	Northampton	MA	1060	USA	(413) 582-1885	11:00 AM	8:00 PM	10:00 AM	10:00 PM	10:00 AM	10:00 PM	10:00 AM	10:00 PM	10:00 AM	10:00 PM	10:00 AM	11:00 PM	10:00 AM	11:00 PM	http://www.turnitup.com/index.html	http://www.yelp.com/biz/turn-it-up-northampton		http://local.yahoo.com/info-10012004-turn-it-up-northampton		
Merged-03-oct.tsv:61457f80-c5c3-102f-bf5f-53479e33edcb	Dairy Queen - Southport	3811 North Southport Avenue 	Chicago	IL	60613	USA	(773) 857-7004	12:00 PM	10:00 PM	12:00 PM	9:00 PM	12:00 PM	9:00 PM	12:00 PM	9:00 PM	12:00 PM	9:00 PM	12:00 PM	9:00 PM	12:00 PM	10:00 PM		http://www.yelp.com/biz/dairy-queen---southport-chicago		http://local.yahoo.com/info-32908705-dairy-queen-chicago	https://plus.google.com/u/0/local/CHICAGO%2CIllinois%2C%20United%20States/s/Dairy%20Queen%20-%20Southport	http://www.facebook.com/DQ41426
Merged-03-oct.tsv:61480dc0-c656-102f-9feb-ff162644371c	The Daily Bagel Reno	495 Morrill Ave. Suite 102	Reno	NV	89512	USA	(775) 786-1611			6:30 AM	2:00 PM	6:30 AM	3:00 PM	6:30 AM	3:00 PM	6:30 AM	3:00 PM	6:30 AM	3:00 PM	8:00 AM	2:00 PM	http://www.thedailybagelreno.com/	http://bit.ly/HaEJNS		http://local.yahoo.com/info-74090664-the-daily-bagel-reno	http://bit.ly/HaEJgI	http://www.facebook.com/pages/The-Daily-Bagel/124023117645120
Merged-03-oct.tsv:614aa900-c65a-102f-bed5-5d2450d59352	Turn It Up!	2 Elliot St. 	Brattleboro	VT	5301	USA	(802) 251-6015	11:00 AM	6:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	8:00 PM	10:00 AM	10:00 PM	10:00 AM	10:00 PM	http://www.turnitup.com/	http://www.yelp.com/biz/turn-it-up-brattleboro		http://local.yahoo.com/info-10469422-turn-it-up-brattleboro	https://plus.google.com/u/0/local/VT/s/Turn%20It%20Up%2CBrattleboro%2C%20VT%2005301	
Merged-03-oct.tsv:614c1ac0-c5b9-102f-abeb-2d0dad0001d9	Children's Museum of Houston	1500 Binz St. 	Houston	TX	77004	USA	(713) 522-1138	12:00 PM	6:00 PM			10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	8:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	http://www.cmhouston.org	http://www.yelp.com/biz/the-childrens-museum-of-houston-houston	http://www.tripadvisor.com/Attraction_Review-g56003-d269830-Reviews-Children_s_Museum_of_Houston-Houston_Texas.html	http://local.yahoo.com/info-18960160-children-s-museum-of-houston-houston?viewtype=map	http://g.co/maps/2uy6g	http://www.facebook.com/pages/The-Childrens-Museum-of-Houston/102241003152420
Merged-03-oct.tsv:61533f00-b126-102f-afa6-a1314c9c6aa7	Fuego Tacos	2501 East Camelback Road 	Phoenix	AZ	85016	USA	(602) 441-5728															http://www.fuegobistro.com/home.html	http://www.yelp.com/biz/fuego-tacos-phoenix	http://www.tripadvisor.com/Restaurant_Review-g31310-d2530184-Reviews-Fuego_Tacos-Phoenix_Arizona.html	http://local.yahoo.com/info-84261597-fuego-tacos-phoenix	https://plus.google.com/local/Phoenix,%20AZ/s/Fuego%20TACOS?gl=US&hl=en	http://www.facebook.com/FuegoTacos?fref=ts
Merged-03-oct.tsv:61607c30-c5b0-102f-adaf-bf246746525c	Brunswick Zone LakeSide	1254 Dougherty Ferry Rd. 	Valley Park	MO	63088	USA	(636) 225-2400															http://www.bowlbrunswick.com/about-us/254/1	http://www.yelp.com/biz/brunswick-zone-lakeside-valley-park		http://local.yahoo.com/info-17681275-brunswick-zone-lakeside-valley-park	https://plus.google.com/local/Valley%20Park,%20MO,%20United%20States/s/Brunswick%20Zone%20Lakeside?hl=en	
Merged-03-oct.tsv:617a5400-b0ef-102f-af3d-3a508ad01542	Chicago the Musical	219 W 49th St. 	New York	NY	10019	USA	(212) 239-6200															www.chicagothemusical.com/	http://gr.pn/zWHFuy	http://gr.pn/wk5b6Z	http://local.yahoo.com/info-38679191-chicago-new-york	http://gr.pn/AbSFVh	
Merged-03-oct.tsv:617ac810-c60a-102f-af6e-031efe3b761b	Ma Belle's Cafe	44 Ochterloney St. 	Dartmouth	NS	B2Y 1B9	Canada	(902) 466-1322	9:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	8:00 PM	8:00 AM	8:00 PM	8:00 AM	8:00 PM	www.mabellescafe.ca	http://www.yelp.com/biz/ma-belles-cafe-dartmouth	http://www.tripadvisor.com/ShowUserReviews-g154974-d2548191-r135464698-Ma_Bell_s_Cafe-Dartmouth_Halifax_Regional_Municipality_Nova_Scotia.html		https://plus.google.com/116179534722293477307/about?gl=US&hl=en	http://www.facebook.com/mabellescafe?fref=ts
Merged-03-oct.tsv:618a82a0-b0d9-102f-abff-aab4483e53cd	Surin of Thailand Knoxville	6213 Kingston Pike 	Knoxville	TN	37919	USA	(865) 330-0007															surinofthailand.com	http://www.yelp.com/biz/surin-of-thailand-knoxville	http://www.tripadvisor.com/Restaurant_Review-g55138-d2222407-Reviews-Surin_of_Thailand-Knoxville_Tennessee.html	http://local.yahoo.com/info-83826974-surin-of-thailand-knoxville?tab=reviews	https://plus.google.com/104240906169372496756/about?hl=en	http://www.facebook.com/pages/Surin-of-Thailand-Knoxville/167917503261014
Merged-03-oct.tsv:619377a0-c5f3-102f-adf5-a3f7894010e7	House of Small Wonder	20 Skillman Avenue 	Brooklyn	NY	11211	USA	(718) 383-2703	10:00 AM	5:00 PM			10:00 AM	5:00 PM	10:00 AM	5:00 PM	10:00 AM	5:00 PM	10:00 AM	5:00 PM	10:00 AM	5:00 PM	http://www.houseofsmallwonder.com	http://www.yelp.com/biz/house-of-small-wonder-brooklyn			https://plus.google.com/local/NY/s/House%20of%20Small%20Wonder?hl=en	http://www.facebook.com/pages/House-of-Small-Wonder/187564884614283?fref=ts
Merged-03-oct.tsv:6196c9a0-c60c-102f-a18f-eba55ab3cff0	Marco's Trattoria	8200 Santa Monica Blvd. 	West Hollywood	CA	90046	USA	(323) 650-1060															http://www.marcoswesthollywood.com	http://bit.ly/zCMiH9	http://www.tripadvisor.in/Restaurant_Review-g32655-d364898-Reviews-Marco_s_Trattoria-Los_Angeles_California.html	http://local.yahoo.com/info-20417603-marco-s-trattoria-west-hollywood	http://goo.gl/maps/fnEg	http://www.facebook.com/pages/Marcos/125547338136
Merged-03-oct.tsv:61a05a30-c646-102f-ae75-114d7a5f3147	Shakespeare?s Corner Shoppe	3719 India St. 	San Diego	CA	92103	USA	(619) 683-2748															www.ukcornershoppe.com	http://www.yelp.com/biz/shakespeares-corner-shoppe-san-diego-2		http://local.yahoo.com/info-20855582-shakespeares-corner-shoppe-san-diego	http://bit.ly/rb9ayx	http://www.facebook.com/pages/Shakespeares-Corner-Shoppe-Afternoon-Tea/104011952964648
Merged-03-oct.tsv:61a71260-c5c1-102f-b95d-0297e7807dcb	Curry & Tandoor Corner	369 Broome St. 	Manhattan	NY	10013	USA	(212) 334-9144															http://currytandoorcorner.com/	http://www.yelp.com/biz/curry-and-tandoor-corner-manhattan	http://www.tripadvisor.in/Restaurant_Review-g60763-d3314569-Reviews-CURRY_AND_TANDOOR_CORNER-New_York_City_New_York.html	http://local.yahoo.com/info-90154845-curry-and-tandoor-corner-new-york	http://bit.ly/n58sSJ	http://www.facebook.com/pages/Curry-And-Tandoor-Corner/208792859156595?fref=ts
Merged-03-oct.tsv:7b705c30-b2a5-102f-9e3b-7337744f415f	Smash Wine Bar	1401 N 45th St. 	Seattle	WA	98103	USA	(206) 547-3232	8:00 AM	10:00 PM	9:00 AM	10:00 PM	9:00 AM	10:00 PM	9:00 AM	10:00 PM	9:00 AM	10:00 PM	9:00 AM	10:00 PM	8:00 AM	10:00 PM	http://www.smashwine.com/	http://www.yelp.com/biz/smash-wine-bar-and-bistro-seattle-2	http://www.tripadvisor.in/Restaurant_Review-g60878-d948000-Reviews-Smash_Wine_Bar_Bistro-Seattle_Washington.html	http://local.yahoo.com/info-61781444-smash-wine-bar-restaurant-seattle	http://maps.google.com/maps/place?cid=7741648034971337778	http://www.facebook.com/pages/Smash-Wine-Bar-Bistro/163427201984
Merged-03-oct.tsv:7b7b6ae0-b204-102f-9fd9-65545908f172	Salon K	5047 N Edgewood Dr. 	Provo	UT	84604	USA	(801) 226-7985					9:00 AM	6:00 PM	9:00 AM	6:00 PM	9:00 AM	6:00 PM	9:00 AM	6:00 PM	9:00 AM	5:00 PM	http://salonkprovo.com	http://www.yelp.com/biz/salon-k-provo		http://local.yahoo.com/info-19950972-salon-k-provo	http://maps.google.com/maps/place?hl=en&gs_upl=58l7339l0l7603l31l20l5l0l0l1l370l2538l8.9.1.1l24l0&bav=on.2,or.r_gc.r_pw.,cf.osb&biw=1086&bih=911&um=1&ie=UTF-8&q=salon+K+%2B+provo&fb=1&gl=us&hq=salon+K+%2B&hnear=0x874d9271930bf1bf:0x1d90f12600b556ef,Provo,	
Merged-03-oct.tsv:7b846ef0-c5b5-102f-affe-03dbcf7a7fd0	Carroll's Meats	249 Visitacion Ave. 	Brisbane	CA	94005	USA	(415) 467-3007	9:00 AM	8:00 PM	9:00 AM	8:00 PM	9:00 AM	8:00 PM	9:00 AM	8:00 PM	9:00 AM	8:00 PM	9:00 AM	8:00 PM	9:00 AM	8:00 PM	www.carrollsmeats.com	http://bit.ly/owyAaZ		http://local.yahoo.com/info-21302328-carroll-s-meat-fish-poultry-brisbane	https://plus.google.com/local/CA/s/Carroll's%20Meats?gl=US&hl=en	http://www.facebook.com/pages/Carrolls-Meats/180637415401411?fref=ts
Merged-03-oct.tsv:7b8923e0-b26f-102f-bf7b-7d98e6989ae6	Weaver D's Delicious Fine Foods	1016 E Broad St. 	Athens	GA	30601	USA	(706) 353-7797			11:00 AM	6:00 PM	11:00 AM	6:00 PM	11:00 AM	6:00 PM	11:00 AM	6:00 PM	11:00 AM	6:00 PM	11:00 AM	6:00 PM		http://yelp.com/biz/weaver-ds-delicious-fine-foods-athens/		http://local.yahoo.com/info-13773173-weaver-d-s-delicious-fine-food-athens	https://plus.google.com/local/Athens,%20GA/s/Weaver%20D's%20Delicious%20Fine%20Foods?gl=US&hl=en	http://www.facebook.com/pages/Weaver-Ds/89436926297
Merged-03-oct.tsv:790af8c0-c5dc-102f-9fff-4cb7c879e135	Gateway Grill	4251 Northern Pike Suite A	Monroeville	PA	15146	USA	(412)_372-2977	8:00 AM	2:00 AM	8:00 AM	2:00 AM	8:00 AM	2:00 AM	8:00 AM	2:00 AM	8:00 AM	2:00 AM	8:00 AM	2:00 AM	8:00 AM	2:00 AM	http://www.gatewaygrill.net/	http://www.yelp.com/biz/gateway-grill-monroeville	http://www.tripadvisor.com/Restaurant_Review-g53223-d401362-Reviews-Gateway_Grill-Monroeville_Pennsylvania.html	http://local.yahoo.com/info-11833275	https://plus.google.com/114133592271875687748/about?gl=in&hl=en	https://www.facebook.com/pages/Gateway-Grill/144652338964245
Merged-03-oct.tsv:79118040-c60f-102f-9bff-d3e07e5b6387	Medi-Weightloss Clinics - Lake Mary	4300 W Lake Mary Blvd. Suite 1010	Lake Mary	FL	32746	USA	(407)_333-9200			10:00 AM	7:00 PM	7:00 AM	1:00 PM	7:00 AM	1:00 PM	7:00 AM	1:00 PM	7:00 AM	1:00 PM	9:00 AM	1:00 PM	http://www.mediweightlossclinics.com/locations/lakemary/	http://www.yelp.com/biz/medi-weightloss-clinics-lake-mary-2		http://local.yahoo.com/info-60741141-mediweightloss-clinics-of-lake-mary-lake-mary	https://plus.google.com/105407608781420003078/about?gl=in&hl=en	https://www.facebook.com/1.877.MED.LOSS
Merged-03-oct.tsv:791e0460-c604-102f-bffb-d05392b4dc88	Laser Assault	264 North 100 West null	Provo	UT	84601	USA	(801)_374-3400															http://www.laserassault.net/	http://www.yelp.com/biz/laser-assault-provo		http://local.yahoo.com/info-19956204-laser-assault-provo	https://plus.google.com/110213817061928349754/about?gl=in&hl=en	https://www.facebook.com/pages/Laser-Assault/279302431255?fref=ts
Merged-03-oct.tsv:792e0030-c5d3-102f-91fb-afd4963cb4e2	Express Oil Change and Service Center Macon	11620 Panama City Beach Pkwy. 	Panama City Beach	FL	32407	USA	(850)_233-0808	closed	closed	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	5:00 PM	http://www.vvexpressoil.com/				https://plus.google.com/104105919267369786106/about?gl=in&hl=en	https://www.facebook.com/ExpressOilATL
Merged-03-oct.tsv:792e7bc0-c5db-102f-b2d3-f6c24adb3296	Fun Pole Fitness	2828 University Ave. Suite 105	San Diego	CA	92104	USA	(858)_ 232-4047															http://www.funpolefitness.com/	http://www.yelp.com/biz/fun-pole-fitness-san-diego		http://local.yahoo.com/info-58671136-fun-pole-fitness-san-diego	https://plus.google.com/108158242532727279284/about?gl=in&hl=en	https://www.facebook.com/funpolefitness
Merged-03-oct.tsv:7932e561-afde-102f-bfe1-9565ecc8e5b5	Habibi Lebanese Cuisine	1012 SW Morrison St. 	Portland	OR	97205	USA	(503)_274-0628	12:00 PM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	http://www.habibirestaurantpdx.com/	http://www.yelp.com/biz/habibi-restaurant-portland	http://www.tripadvisor.in/ShowUserReviews-g52024-d1190734-r130537751-Habibi_Restaurant-Portland_Oregon.html	http://local.yahoo.com/info-21952433	https://plus.google.com/103038648136478349609/about?gl=in&hl=en	
Merged-03-oct.tsv:79358360-c659-102f-bbcf-3fb2edd7a96c	Tonys Brick Oven Pizzeria	2417 14th St.	Gulfport	MSﾠ	39501	USA	(718)_816-6516			11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	http://www.tonysbrickovenpizzeria.com/	http://www.yelp.com/biz/tonys-brick-oven-pizzeria-gulfport	http://www.tripadvisor.in/Restaurant_Review-g43802-d2450286-Reviews-Tony_s_Brick_Oven_Pizzeria-Gulfport_Mississippi.html	http://local.yahoo.com/info-65061691-tony-s-brick-oven-pizzeria-gulfport	https://plus.google.com/111232545538567882340/about?gl=in&hl=en	https://www.facebook.com/pages/Tonys-Brick-Oven-Pizzeria/156002477745485
Merged-03-oct.tsv:793a8550-c5bd-102f-bbb7-97bb95b0c93a	Comme ?a	3708 S Las Vegas Blvd. 	Las Vegas	NV	89109	USA	(702)_698-7910	12:00 PM	11:00 PM	5:00 PM	11:00 PM	5:00 PM	11:00 PM	5:00 PM	11:00 PM	5:00 PM	11:00 PM	12:00 PM	11:00 PM	12:00 PM	11:00 PM	http://www.cosmopolitanlasvegas.com/	http://www.yelp.com/biz/comme-%C3%A7a-las-vegas-3	http://www.tripadvisor.com/Restaurant_Review-g45963-d1994482-Reviews-Comme_Ca_The_Cosmopolitan_of_Las_Vegas-Las_Vegas_Nevada.html		https://plus.google.com/108127871745500315121/about?gl=US&hl=en-US	https://www.facebook.com/TheCosmopolitan
Merged-03-oct.tsv:793ab120-c625-102f-bf9d-20239ec9db07	Peacock Cafe	3251 Prospect St. NW 	Washington	DC	20007	USA	(202)_625-2740	9:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	11:00 PM	9:00 AM	11:00 PM	http://www.peacockcafe.com/	http://www.yelp.com/biz/peacock-cafe-washington	http://www.tripadvisor.in/Restaurant_Review-g28970-d497559-Reviews-Peacock_Cafe-Washington_DC_District_of_Columbia.html	http://local.yahoo.com/info-12378138-peacock-cafe-washington	https://plus.google.com/100957575121236868829/about?gl=US&hl=en	https://www.facebook.com/PeacockCafeGeorgetown?fref=ts
Merged-03-oct.tsv:793e6ef0-c657-102f-bdfb-1e7a1ff6e36f	The Long Island Museum	1200 Rte 25A 	Stony Brook	NY	11790	USA	(631)_751-0066	12:00 PM	5:00 PM									10:00 AM	5:00 PM	10:00 AM	5:00 PM	http://longislandmuseum.org/			http://local.yahoo.com/info-11502506	https://plus.google.com/104016665613454797830/about?gl=US&hl=en	https://www.facebook.com/LImuseum?fref=ts
Merged-03-oct.tsv:79480450-c635-102f-bddf-7ed9308fe507	Reno Bighorns	400 N Center St. 	Reno	NV	89501	USA	(775)_335-8800															http://www.visitrenotahoe.com/meetings-conventions/facilities/reno-events-center/	http://www.yelp.com/biz/reno-event-center-reno-2	http://www.tripadvisor.com/Tourism-g45992-Reno_Nevada-Vacations.html	http://beta.local.yahoo.com/events-reno-bighorns-los-angeles-dfenders-3076917675.html?woeid=2488008&lat=34.09708&lon=-118.108238&statecode=CA&cityname=San%20Gabriel&eventActualDate=1332986400	https://plus.google.com/103343161714410107074/about?gl=in&hl=en	https://www.facebook.com/bighornshoops
Merged-03-oct.tsv:795b9f81-b201-102f-bd5f-02aa4ac0aaca	South Shore Music Circus	130 Sohier St. 	Cohasset	MA	2025	USA	(781)_383-985	12:00 PM	6:00 PM	12:00 PM	6:00 PM	12:00 PM	6:00 PM	12:00 PM	6:00 PM	12:00 PM	6:00 PM	12:00 PM	6:00 PM	12:00 PM	6:00 PM	http://www.themusiccircus.org/	http://www.yelp.com/biz/south-shore-music-circus-cohasset	http://www.tripadvisor.com/ShowUserReviews-g41511-d2049851-r133748520-South_Shore_Music_Circus-Cohasset_Massachusetts.html	http://local.yahoo.com/info-10134540-south-shore-music-circus-cohasset	https://plus.google.com/115807918068226853598/about?gl=in&hl=en	https://www.facebook.com/ssmusiccircus
Merged-03-oct.tsv:795baca1-afea-102f-bbfe-3b92abbf5c84	Essential Life Therapy	1333 North Northlake Way	Seattle	WA	98103	USA	(206)_633-5433	9:00 AM	9:00 PM	9:00 AM	9:00 PM	9:00 AM	9:00 PM	9:00 AM	9:00 PM	9:00 AM	9:00 PM	9:00 AM	9:00 PM	9:00 AM	9:00 PM	http://essentiallifetherapy.com/	http://www.yelp.com/biz/essential-life-therapy-seattle		http://local.yahoo.com/info-22124272-essential-life-therapy-seattle?csz=Seattle%2C+WA	https://plus.google.com/116785538376072540063/about?gl=in&hl=en	https://www.facebook.com/pages/Essential-Life-Therapy/139645516092759
Merged-03-oct.tsv:796aee10-c613-102f-bddf-3c89d5cded7e	Mile Square Theatre	720 Monroe St. 	Hoboken	NJ	7030	USA	(201)_683-7014															http://www.milesquaretheatre.org/	http://www.yelp.com/biz/mile-square-theater-hoboken		http://local.yahoo.com/info-91229270-mile-square-theater-hoboken	https://plus.google.com/100733907828997778991/about?gl=in&hl=en	https://www.facebook.com/mile.squaretheatre
Merged-03-oct.tsv:796e2ac0-c605-102f-b57e-45f30b0ebb10	Le Dolci	1006 Dundas Street West,	Toronto	ON	M5V 2M9	Canada	(416)_262-3400	10:00 AM	5:00 PM			10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	6:00 PM	www.ledolci.com	http://www.yelp.ca/biz/le-dolci-toronto	http://www.tripadvisor.in/Attraction_Review-g155019-d2283062-Reviews-Le_Dolci_Foodie_Studio-Toronto_Ontario.html		https://plus.google.com/117806211047290041895/about?gl=in&hl=en	https://www.facebook.com/appcenter/ledolciricette?fb_source=search&redirect_uri=http%3A%2F%2Fwww.ledolciricette.it&fref=ts
Merged-03-oct.tsv:79777190-c65d-102f-9717-9722f1d7953e	Yama Japanese Restaurant	538 Third Street 	Beaver	PA	15009	USA	(724)_816-2032	2:30 PM	9:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	http://www.eatatyama.com/	http://www.yelp.com/biz/yama-japanese-restaurant-beaver		http://local.yahoo.com/info-48862772-yama-japanese-restaurant-beaver?tab=reviews	https://plus.google.com/116325043498860796195/about?gl=in&hl=en	https://www.facebook.com/pages/Yama-Japanese-Restaurant-in-Beaver/174123532389
Merged-03-oct.tsv:79792d90-b0d8-102f-a5b7-3470a46eeb0f	Megumi	4700 Hwy. 22 Suites 11 & 12	Mandeville	LA	70471	USA	(985)_845-1644			11:00 AM	9:30 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	11:00 AM	10:30 PM	11:00 AM	10:30 PM	http://megumirestaurant.net/	http://www.yelp.com/biz/megumi-mandeville-2	http://www.tripadvisor.com/ShowUserReviews-g40295-d1102139-r138463108-Megumi_Japanese_Cuisine_Yakimono_Bar-Mandeville_Louisiana.html	http://travel.yahoo.com/p-travelguide-32873086R-megumi_sushi-i	https://plus.google.com/101519595718491780169/about?gl=in&hl=en	https://www.facebook.com/pages/MEGUMIO/220431074670403
Merged-03-oct.tsv:77cf5000-c5d2-102f-bde7-aa98aec9595e	Euro International Salon	17309 El Camino Real 	Houston	TX	77058	USA	(281)_286-5877					9:00 AM	8:00 PM	9:00 AM	5:00 PM	9:00 AM	8:00 PM	9:00 AM	5:00 PM	9:00 AM	3:00 PM	http://eurointernationalsalon.com/	http://www.yelp.com/biz/euro-international-salon-houston		http://local.yahoo.com/info-19049881-euro-international-salon-houston	https://plus.google.com/106584345740729776188/about?gl=in&hl=en	https://www.facebook.com/pages/Euro-International-Salon/145504788813640
Merged-03-oct.tsv:77d14011-afbe-102f-b7b2-927ba957e857	Caffe Calabria	3933 30th Street 	San Diego	CA	92104	USA	(619)_291-1759	7:00 AM	11:00 PM	6:00 AM	3:00 PM	6:00 AM	3:00 PM	6:00 AM	11:00 PM	6:00 AM	11:00 PM	6:00 AM	11:00 PM	7:00 AM	11:00 PM	http://www.caffecalabria.com/	http://www.yelp.com/biz/caffe-calabria-san-diego	http://www.tripadvisor.com/Restaurant_Review-g60750-d2239933-Reviews-Caffe_Calabria-San_Diego_California.html	http://local.yahoo.com/info-20861609-caffe-calabria-coffee-roasting-company-san-diego?tab=reviews#reviews	https://plus.google.com/109650608596584214544/about?gl=in&hl=en	https://www.facebook.com/caffecalabria
Merged-03-oct.tsv:77d346a0-c5dd-102f-ae9c-9e3ea53ff03e	Gilbert Inn	341 Beach Dr. 	Seaside	OR	97138	USA	(800) _410-9770	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	http://www.gilbertinn.com/	http://www.yelp.com/biz/gilbert-inn-seaside		http://local.yahoo.com/info-21953718-gilbert-inn-seaside	https://plus.google.com/110376271558608221173/about?gl=in&hl=en	https://www.facebook.com/pages/The-Gilbert-Inn-Seaside-Oregons-historic-small-hotel/295715593611?fref=ts
Merged-03-oct.tsv:77d34d90-c654-102f-8ffd-2d21c8f6c96c	Taki Japanese Restaurant	5500 Victoria Ave. 	Niagara Falls	ON	L2G 3L2	Canada	(905)_357-7274	11:30 AM	10:00 PM	11:30 AM	10:00 PM	11:30 AM	10:00 PM	11:30 AM	10:00 PM	11:30 AM	10:00 PM	11:30 AM	10:00 PM	11:30 AM	10:00 PM	http://www.niagaratakirestaurant.com/	http://www.yelp.ca/biz/taki-restaurant-niagara-falls	http://www.tripadvisor.com/Restaurant_Review-g154998-d689888-Reviews-Taki-Niagara_Falls_Ontario.html		https://plus.google.com/103819628497841154486/about?gl=in&hl=en	https://www.facebook.com/pages/TAKI-JAPANESE-RESTAURANT/351076474160?ref=ts
Merged-03-oct.tsv:77d3e470-c641-102f-9dff-04bcf5d33086	Salon Gilbert	3430 North Miami Avenue suite 100	Miami	FL	33127	USA	(305)_573-4288	12:00 PM	5:00 PM	12:00 PM	5:00 PM	11:00 AM	6:00 PM	11:00 AM	7:00 PM	10:30 AM	7:00 PM	11:00 AM	7:30 PM	10:00 AM	6:30 PM	www.salongilbert.com	http://www.yelp.com/biz/salon-gilbert-miami		http://local.yahoo.com/info-88717652-salon-gilbert-miami	https://plus.google.com/111233000348004781434/about?gl=US&hl=en	https://www.facebook.com/SalonGilbert
Merged-03-oct.tsv:77db8d30-afa6-102f-b94f-98596fabb8c5	Over Easy Cafe	32 Broadway St. 	Asheville	NC	28801	USA	(828)_236-3533	8:00 AM	2:00 PM	closed	closed	8:00 AM	2:00 PM	8:00 AM	2:00 PM	8:00 AM	2:00 PM	8:00 AM	2:00 PM	8:00 AM	2:00 PM	http://overeasyasheville.com/	http://www.yelp.com/biz/over-easy-cafe-asheville	http://www.tripadvisor.com/Restaurant_Review-g60742-d444122-Reviews-Over_Easy_Breakfest_Cafe-Asheville_North_Carolina.html	http://local.yahoo.com/info-13376414-over-easy-breakfast-cafe-asheville;_ylt=AqFRLNqKkasMuP9XLDOIiF.HNcIF;_ylv=3?csz=Asheville%2C+NC	https://plus.google.com/104706584072031357698/about?gl=in&hl=en	https://www.facebook.com/pages/Over-Easy-Cafe/90972108174?ref=search
